שם יישוב,אג''ס, אוכלוסייה*  ,ערך מדד**,  אשכול***   (מ-1 עד 10)  ,חציון גיל,יחס תלות,אחוז משפחות עם 4 ילדים ויותר,ממוצע שנות לימוד של בני 54-25,אחוז בעלי תואר אקדמי מבני 54-27,אחוז בעלי הכנסה מעבודה מבני 54-25,אחוז נשים בנות,אחוז בעלי הכנסה מעבודה מעל פעמיים השכר הממוצע,אחוז בעלי הכנסה מעבודה מתחת לשכר המינימום,אחוז מקבלי הבטחת הכנסה והשלמת הכנסה בזקנה ושאירים מבני 20 ומעלה,הכנסה חודשית ממוצעת לנפש,מספר כלי רכב בבעלות ל-100 תושבים בני 17 ומעלה,ממוצע אגרה בעד רשיון לרכב ,"ממוצע מספר ימי שהייה בחו""ל",סה''כ,נשואים/נשואות,גרושים/גרושות,אלמנים/אלמנות,רווקים/רווקות,משפחות שבראשן עומד הורה עצמאי,גרוש-אלמן-משפחות שבראשן עומד הורה עצמאי%,עולים מרוסיה,עולים מאתיופיה,עולים מארה''ב,עולים מדרא''פ,עולים משאר הארצות,סה''כ עולים,עולים %,0-5,06-דצמ,13-17,18-21,22-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-120,עבירות בטחון,עבירות כלפי המוסר,עבירות כלפי הרכוש,עבירות מרמה,עבירות נגד גוף,עבירות סדר ציבורי,קבוצת כל השאר,,עבירות רשוי,עבירות תנועה,עבירות מין,עבירות כלכליות,עבירות נגד אדם,עבירות מנהליות,סעיפי הגדרה,שאר עבירות,neighborhood_1,neighborhood_2,neighborhood_3
באר שבע,111,"2,307",-1.504,2,32,106.4,10.82,11.42,16.94,76.62,22.44,2.49,60,26.34,"3,345",21.38,"1,220",3.6,3008,990,415,184,1414,51,21.61,142,44,15,0,963,1151,38.26,238,243,165,133,143,222,195,189,145,163,164,178,189,183,168,289,6,42,157,17,47,135,16,1,1,6,3,1,2,0,0,0,ד,,
באר שבע,112,"2,269",-1.402,2,37,82.5,15.35,9.83,12.49,74.17,26.7,2.47,54.81,21.57,"3,594",24.77,"1,260",4.41,2675,827,393,197,1257,67,24.56,122,341,8,2,946,1415,52.9,204,242,171,145,107,163,157,153,155,168,156,162,172,149,116,255,5,35,127,16,55,137,19,1,5,8,6,1,0,1,0,0,ד,,
באר שבע,113,"1,775",-1.694,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2128,527,336,139,1124,64,25.33,107,57,3,1,699,864,40.6,195,242,130,112,75,163,129,140,116,107,106,115,122,96,97,183,3,31,113,14,43,119,15,0,3,8,4,2,1,0,0,0,ד,,
באר שבע,121,"3,256",-1.552,2,43,97.3,13.45,11.12,11.6,73.57,30.8,1.96,58.69,30.6,"3,343",22.33,"1,223",3.22,3305,955,518,320,1503,53,26.96,237,86,17,2,1059,1360,41.15,207,223,156,127,113,280,218,180,161,156,161,183,189,211,192,547,7,71,181,42,53,164,20,0,4,12,8,1,4,0,2,0,ד,,
באר שבע,122,"1,075",-1.188,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1132,313,170,78,570,23,23.94,72,48,8,0,386,485,42.84,69,62,45,46,58,102,81,61,53,68,63,67,70,65,81,141,0,9,113,5,35,99,11,0,0,8,1,1,1,0,0,0,ד,,
באר שבע,123,"1,117",-0.897,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1269,335,156,74,703,21,19.78,33,4,6,0,293,333,26.24,57,63,60,45,85,238,95,55,57,60,81,72,65,53,61,122,2,23,102,10,34,78,9,0,2,5,2,0,1,0,0,0,ד,,
באר שבע,131,"2,300",-0.786,3,28,50.6,8.16,12.95,28.25,78.55,20.21,4.83,63.54,9.27,"3,863",27.54,"1,290",5.56,2146,694,242,136,1071,19,18.5,86,8,26,3,495,613,28.56,95,99,70,66,123,317,140,103,75,110,110,120,154,154,141,269,3,45,197,54,52,145,17,0,7,18,9,7,2,0,0,0,ד,,
באר שבע,132,"2,716",-1.17,3,42,82.1,10.75,11.61,17.7,76.44,23.66,4.45,53.5,29.1,"3,900",22.08,"1,247",4.65,2535,672,524,185,1151,42,29.63,177,38,21,0,916,1148,45.29,141,149,127,97,90,189,129,131,135,168,136,196,165,163,175,344,1,27,146,21,37,135,15,0,4,7,3,1,0,0,2,1,ד,,
באר שבע,133,"1,133",-1.108,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1304,455,149,85,614,10,18.71,63,20,9,0,457,542,41.56,109,92,57,46,33,122,99,73,66,69,68,64,98,89,71,148,0,27,117,17,42,103,14,0,2,8,3,0,4,0,1,0,ד,,
באר שבע,211,"3,445",-0.141,5,39,81.8,8.99,12.55,27.79,84.18,15.61,9.92,43.87,9.37,"5,518",41.52,"1,346",5.72,3936,1569,402,246,1718,61,18.01,189,100,10,1,1266,1566,39.79,243,319,209,202,151,233,199,247,206,241,256,235,253,223,253,466,5,46,164,35,46,133,17,1,6,7,7,1,4,0,1,0,ו,,
