שם יישוב,אג''ס, אוכלוסייה*  ,ערך מדד**,  אשכול***   (מ-1 עד 10)  ,חציון גיל,יחס תלות,אחוז משפחות עם 4 ילדים ויותר,ממוצע שנות לימוד של בני 54-25,אחוז בעלי תואר אקדמי מבני 54-27,אחוז בעלי הכנסה מעבודה מבני 54-25,אחוז נשים בנות,אחוז בעלי הכנסה מעבודה מעל פעמיים השכר הממוצע,אחוז בעלי הכנסה מעבודה מתחת לשכר המינימום,אחוז מקבלי הבטחת הכנסה והשלמת הכנסה בזקנה ושאירים מבני 20 ומעלה,הכנסה חודשית ממוצעת לנפש,מספר כלי רכב בבעלות ל-100 תושבים בני 17 ומעלה,ממוצע אגרה בעד רשיון לרכב ,"ממוצע מספר ימי שהייה בחו""ל",NAME OF LOCALITY 
,CODE OF STATISTICAL AREA, POPULATION* , SOCIO-ECONOMIC INDEX 2017,CLUSTER*** (1 to 10) ,MEDIAN AGE,DEPENDENCY RATIO,PERCENTAGE OF FAMILES WITH 4 OR MORE CHILDREN,"AVERAGE YEARS OF SCHOOLING, OF AGED 25-54","PERCENTAGE OF ACADEMIC DEGREE HOLDERS, OF AGED 27-54","PERCENTAGE OF WAGE AND INCOME EARNERS, OF AGED 25-54",PERCENTAGE OF WOMEN AGED 25-54 WITH NO INCOME FROM WORK,PERCENTAGE OF WAGE AND INCOME EARNERS - ABOVE TWICE THE AVERAGE WAGE,PERCENTAGE OF WAGE AND INCOME EARNERS - BELOW THE MINIMUM WAGE,PERCENTAGE OF RECIPIENTS OF INCOME SUPPORT AND INCOME SUPPLEMENT TO OLD-AGE PENSION OF AGED 20 AND OVER,AVERAGE MONTHLY INCOME PER CAPITA,NUMBER OF OWNED VEHICLES PER 100 RESIDENTS AGED 17 AND OVER,AVERAGE VEHICLE LICENCE FEE,AVERAGE NUMBER OF DAYS ABROAD,
ערך כלל ארצי,,"8,691,807",,,29,90.87,16.37,12.79,33.56,82.54,19.19,12.91,39.59,5.8,"5,337",48.75,"1,370",6.97,NATIONWIDE VALUE
באר שבע,111,"2,307",-1.504,2,32,106.4,10.82,11.42,16.94,76.62,22.44,2.49,60,26.34,"3,345",21.38,"1,220",3.6,BE'ER SHEVA
באר שבע,112,"2,269",-1.402,2,37,82.5,15.35,9.83,12.49,74.17,26.7,2.47,54.81,21.57,"3,594",24.77,"1,260",4.41,BE'ER SHEVA
באר שבע,113,"1,775",-1.694,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,BE'ER SHEVA
באר שבע,121,"3,256",-1.552,2,43,97.3,13.45,11.12,11.6,73.57,30.8,1.96,58.69,30.6,"3,343",22.33,"1,223",3.22,BE'ER SHEVA
באר שבע,122,"1,075",-1.188,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,BE'ER SHEVA
באר שבע,123,"1,117",-0.897,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,BE'ER SHEVA
באר שבע,131,"2,300",-0.786,3,28,50.6,8.16,12.95,28.25,78.55,20.21,4.83,63.54,9.27,"3,863",27.54,"1,290",5.56,BE'ER SHEVA
באר שבע,132,"2,716",-1.17,3,42,82.1,10.75,11.61,17.7,76.44,23.66,4.45,53.5,29.1,"3,900",22.08,"1,247",4.65,BE'ER SHEVA
באר שבע,133,"1,133",-1.108,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,BE'ER SHEVA
באר שבע,211,"3,445",-0.141,5,39,81.8,8.99,12.55,27.79,84.18,15.61,9.92,43.87,9.37,"5,518",41.52,"1,346",5.72,BE'ER SHEVA
באר שבע,212,"4,506",-0.753,3,31,78,14.32,11.47,20.21,85.38,14.88,2.84,44.93,13.22,"4,173",28.61,"1,253",4.41,BE'ER SHEVA
באר שבע,213,"3,759",-0.49,4,28,102.3,24.19,12.95,23.47,84.01,13.91,8.24,41.78,5.38,"4,492",38.95,"1,293",3.28,BE'ER SHEVA
באר שבע,214,"5,010",-0.025,5,34,77.6,7.46,12.87,24.82,89.04,10.2,8.95,39.12,7.22,"5,307",41.75,"1,303",5.61,BE'ER SHEVA
באר שבע,215,"1,801",-0.862,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,BE'ER SHEVA
באר שבע,216,"3,549",-1.138,3,42,93.2,8.75,10.67,15.13,84.15,15.92,2.81,49.97,31.98,"3,995",19.58,"1,277",4.97,BE'ER SHEVA
באר שבע,221,"2,976",-0.926,3,42,85.5,6.15,10.87,14.95,82.7,16.91,2.73,47.57,21.53,"4,022",19.31,"1,243",4.64,BE'ER SHEVA
באר שבע,222,"3,088",-1.106,3,35,80.2,10.05,11.08,15.99,82.29,19.28,2.24,50.51,22.71,"3,891",20.94,"1,210",4.69,BE'ER SHEVA
באר שבע,223,"2,451",-0.142,5,34,69.9,6.42,12.45,25.27,90.58,9.53,6.63,41.15,10.54,"5,212",37.42,"1,307",5.76,BE'ER SHEVA
באר שבע,224,"2,190",-0.248,5,33,70.3,7.37,12.3,22.66,86.36,13.61,7.5,43.41,9.15,"5,269",37.49,"1,357",5.8,BE'ER SHEVA
באר שבע,225,"3,554",-0.486,4,35,79.8,10.1,12.31,23.66,87.31,13.77,4.62,43.23,14.98,"4,781",30.63,"1,277",4.75,BE'ER SHEVA
באר שבע,226,"1,349",-0.156,5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,BE'ER SHEVA
באר שבע,234,"3,017",0.529,7,33,67.5,5.5,13.62,37.59,87.76,11.04,16.37,35.15,3.48,"6,858",52.97,"1,394",7.86,BE'ER SHEVA
באר שבע,311,"3,593",0.236,6,35,69.6,4.93,13.2,31.02,90.21,7.93,10.47,37.38,8.05,"5,926",46.52,"1,337",6.7,BE'ER SHEVA
באר שבע,312,"5,012",0.072,6,35,74.7,4.51,13.1,29.73,87.07,10.51,10.15,37.85,9.79,"5,643",43.79,"1,320",6.44,BE'ER SHEVA
באר שבע,313,"3,178",0.11,6,35,72.4,7.04,13.15,30.11,87.12,11.37,11.6,36.55,10.26,"5,991",43.07,"1,339",6.58,BE'ER SHEVA
באר שבע,411,"4,882",0.521,7,23,91.6,10.9,13.86,37.88,87.43,7.97,20.46,32.04,0.95,"6,715",61.49,"1,523",6.72,BE'ER SHEVA
באר שבע,412,"2,695",-0.182,5,36,77.2,8.69,12.83,29.7,87.9,11.42,7.93,42.48,14.72,"5,254",37.85,"1,315",6.74,BE'ER SHEVA
באר שבע,413,"6,848",-0.163,5,36,81.3,5.68,13.02,28.53,87.41,12.47,8.63,40.92,14.05,"5,240",36.66,"1,315",6.02,BE'ER SHEVA
באר שבע,414,"7,101",0.145,6,34,85.1,7.36,13.14,30.38,88.35,10.21,10.99,35.12,6.5,"5,647",44.91,"1,336",6.14,BE'ER SHEVA
באר שבע,415,"7,913",0.213,6,30,86.1,11.16,13.39,32.37,89.11,8.4,12.84,34.26,4.28,"5,673",50.09,"1,362",5.55,BE'ER SHEVA
באר שבע,421,"5,617",0.958,8,34,60.9,6.8,14.03,45.84,88.33,9.76,20.14,33.96,0.67,"8,225",65.88,"1,489",9.08,BE'ER SHEVA
באר שבע,422,"5,791",0.232,6,33,81,8.59,13.47,36.03,87.71,10.99,12.8,36.81,4.91,"5,988",46.86,"1,332",6.14,BE'ER SHEVA
באר שבע,423,"4,454",-0.187,5,35,89.8,10.42,12.98,30.17,86.65,12.85,8.44,40.35,10.38,"5,088",38.2,"1,275",5.59,BE'ER SHEVA
באר שבע,431,"3,391",-0.334,4,29,88,20.94,13.03,44.28,82.19,18.32,9.26,43.33,5.47,"4,455",38.94,"1,274",4.84,BE'ER SHEVA
באר שבע,432,"3,515",-0.483,4,36,85.2,8.69,12.26,27.23,83.88,15.96,5.89,42.29,15.84,"4,740",33.06,"1,277",5.28,BE'ER SHEVA
